,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
37,TC213609,Jaime,0358,B,2,2136-11-26 06:00:00,982.59,-32.26,39.97,2136-11-26 06:00:00,2136-11-24 00:00:00,982.59,-32.26,39.97,2136-11-24 00:00:00,998.6,-34.87,31.17,2136-11-28 18:00:00,998.87,-27.5,51.0,998.6,-34.87,31.17,2136-11-28 06:00:00,996.28,-25.98,45.13,2136-11-28 12:00:00,998.54,-26.39,47.73
38,TC213805,Seldoen,0441,B,2,2138-10-10 18:00:00,961.37,-27.33,59.07,2138-10-08 18:00:00,2138-10-05 18:00:00,990.16,-54.6,38.34,2138-10-05 18:00:00,1011.36,-53.48,33.56,2138-10-10 18:00:00,961.37,-27.33,59.07,1011.36,-53.48,33.56,2138-10-09 06:00:00,986.95,-50.62,40.99,2138-10-10 06:00:00,972.0,-35.21,50.9
39,TC213901,Vincent,0463,B,2,2139-03-22 12:00:00,955.66,-53.0,59.56,2139-03-21 00:00:00,2139-03-18 06:00:00,965.98,-55.14,42.67,2139-03-15 18:00:00,1006.14,-90.67,16.25,2139-03-22 12:00:00,955.66,-53.0,59.56,976.79,-74.42,28.34,2139-03-21 06:00:00,959.7,-54.67,44.94,2139-03-21 18:00:00,962.9,-51.32,48.77
40,TC213903,Alice,0491,B,2,2139-10-26 00:00:00,934.51,-47.24,34.36,2139-10-26 00:00:00,2139-10-19 18:00:00,934.51,-47.24,34.36,2139-10-19 18:00:00,1012.42,-38.32,33.58,2139-10-29 00:00:00,995.31,-0.25,47.0,1012.42,-38.32,33.58,2139-10-26 06:00:00,944.41,-46.44,36.45,2139-10-27 18:00:00,992.04,-31.05,45.72
41,TC214005,Ivy,0535,B,2,2140-09-27 18:00:00,904.89,-58.16,40.25,2140-09-26 00:00:00,2140-09-15 18:00:00,907.21,-67.51,31.15,2140-09-15 00:00:00,1011.25,-35.66,13.3,2140-09-30 12:00:00,966.2,-34.44,59.87,1006.43,-38.16,13.03,2140-09-26 18:00:00,909.67,-65.21,34.25,2140-09-29 00:00:00,955.36,-49.91,49.58
42,TC214102,Phil,0575,B,2,2141-08-30 12:00:00,961.76,-45.56,44.88,2141-08-24 12:00:00,2141-08-16 18:00:00,992.12,-68.3,26.82,2141-08-16 18:00:00,1008.3,-37.09,12.91,2141-09-03 18:00:00,1010.75,-24.0,49.25,1008.3,-37.09,12.91,2141-08-28 00:00:00,993.08,-67.63,36.53,2141-09-01 12:00:00,996.85,-40.4,49.2
43,TC214104,Sergio,0579,B,2,2141-10-14 18:00:00,992.29,-57.86,38.44,2141-10-14 18:00:00,2141-10-13 00:00:00,992.29,-57.86,38.44,2141-10-12 18:00:00,1010.53,-70.51,27.51,2141-10-17 12:00:00,999.36,-47.0,48.75,1009.99,-69.89,27.64,2141-10-17 00:00:00,1001.27,-53.61,46.47,2141-10-17 00:00:00,1001.27,-53.61,46.47
44,TC214203,Beatrice,0621,B,2,2142-09-25 00:00:00,949.2,-55.27,42.84,2142-09-23 18:00:00,2142-09-20 06:00:00,968.24,-67.35,33.96,2142-09-20 06:00:00,1010.14,-60.26,23.47,2142-09-26 06:00:00,965.14,-34.88,58.12,1010.14,-60.26,23.47,2142-09-24 00:00:00,967.6,-66.06,35.33,2142-09-25 18:00:00,961.64,-41.94,52.37
45,TC214406,Flavia,0715,B,2,2144-07-21 18:00:00,938.74,-59.94,35.16,2144-07-21 18:00:00,2144-07-16 00:00:00,938.74,-59.94,35.16,2144-07-15 18:00:00,1010.55,-46.83,17.59,2144-07-26 00:00:00,990.21,-23.0,54.0,1009.62,-49.24,17.68,2144-07-25 06:00:00,996.7,-36.11,48.99,2144-07-25 06:00:00,996.7,-36.11,48.99
46,TC214411,Kinen,0723,B,2,2144-09-26 18:00:00,915.56,-72.78,23.95,2144-09-26 18:00:00,2144-09-19 06:00:00,915.56,-72.78,23.95,2144-09-17 18:00:00,1011.29,-43.94,11.46,2144-10-07 06:00:00,974.46,-12.5,55.0,1005.98,-48.92,13.66,2144-09-27 12:00:00,954.24,-71.6,24.99,2144-10-06 00:00:00,968.71,-29.26,47.77
47,TC214504,Winnie,0766,B,2,2145-08-31 00:00:00,951.68,-60.69,37.17,2145-08-31 00:00:00,2145-08-20 12:00:00,951.68,-60.69,37.17,2145-08-18 18:00:00,1009.16,-25.22,13.19,2145-09-05 18:00:00,1011.55,-13.25,49.5,1007.66,-35.24,13.7,2145-09-02 12:00:00,968.19,-57.5,42.83,2145-09-03 18:00:00,1000.9,-40.22,51.21
48,TC214701,Christine,0823,B,2,2147-01-09 06:00:00,977.82,-39.6,42.24,2147-01-09 06:00:00,2147-01-05 18:00:00,977.82,-39.6,42.24,2147-01-05 18:00:00,992.24,-53.46,36.67,2147-01-14 00:00:00,1010.75,-16.5,46.75,992.24,-53.46,36.67,2147-01-12 00:00:00,998.94,-32.5,48.25,2147-01-12 18:00:00,1003.15,-27.5,46.5
