,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
65,TC193710,Ollie,0392,B,2,1937-09-17 12:00:00,950.29,-58.57,38.99,1937-09-17 12:00:00,1937-09-08 18:00:00,950.29,-58.57,38.99,1937-09-08 18:00:00,1004.63,-28.29,11.49,1937-09-18 18:00:00,991.07,-50.22,52.4,1004.63,-28.29,11.49,1937-09-18 06:00:00,975.14,-54.44,47.83,1937-09-18 18:00:00,991.07,-50.22,52.4
66,TC193804,Blaise,0437,B,2,1938-10-04 18:00:00,970.06,-60.48,30.54,1938-10-04 18:00:00,1938-09-23 00:00:00,970.06,-60.48,30.54,1938-09-23 00:00:00,1004.12,-18.48,11.51,1938-10-08 06:00:00,1004.15,-9.5,51.0,1004.12,-18.48,11.51,1938-10-05 18:00:00,987.69,-55.22,34.26,1938-10-07 06:00:00,991.82,-35.25,46.75
67,TC193903,Emiliano,0480,B,2,1939-09-21 18:00:00,965.5,-24.63,48.14,1939-09-20 12:00:00,1939-09-16 18:00:00,971.05,-28.39,40.45,1939-09-15 06:00:00,1009.5,-34.76,39.98,1939-09-22 18:00:00,970.78,-22.66,58.1,1001.8,-39.47,35.1,1939-09-20 18:00:00,968.77,-27.63,41.92,1939-09-22 18:00:00,970.78,-22.66,58.1
68,TC193904,Gloria,0483,B,2,1939-10-06 18:00:00,937.54,-37.97,38.18,1939-10-05 18:00:00,1939-09-25 12:00:00,937.68,-38.85,32.66,1939-09-25 12:00:00,1008.95,-5.43,13.82,1939-10-10 00:00:00,964.92,2.06,58.92,1008.95,-5.43,13.82,1939-10-06 06:00:00,940.31,-38.7,34.98,1939-10-08 18:00:00,947.52,-16.07,55.77
69,TC194005,Manfred,0528,B,2,1940-08-07 18:00:00,920.17,-79.15,25.85,1940-08-07 18:00:00,1940-07-31 00:00:00,920.17,-79.15,25.85,1940-07-31 00:00:00,1006.87,-35.33,12.42,1940-08-17 18:00:00,1010.14,-53.75,48.25,1006.87,-35.33,12.42,1940-08-15 06:00:00,997.55,-69.82,40.58,1940-08-17 00:00:00,1001.96,-62.0,47.75
70,TC194007,Oxlip,0531,B,2,1940-08-26 12:00:00,950.67,-72.8,29.18,1940-08-26 12:00:00,1940-08-18 00:00:00,950.67,-72.8,29.18,1940-08-15 12:00:00,1010.13,-29.75,11.68,1940-09-03 06:00:00,977.18,-40.63,56.15,1009.66,-43.74,14.63,1940-09-01 00:00:00,968.91,-57.86,44.99,1940-09-01 12:00:00,971.99,-51.13,50.61
71,TC194008,Rodri,0535,B,2,1940-09-10 06:00:00,970.77,-52.79,42.91,1940-09-08 12:00:00,1940-08-28 06:00:00,971.48,-67.88,27.98,1940-08-28 06:00:00,1008.74,-14.2,10.47,1940-09-11 06:00:00,983.04,-32.4,54.41,1008.74,-14.2,10.47,1940-09-09 18:00:00,975.47,-60.53,38.74,1940-09-11 00:00:00,983.11,-38.13,51.21
72,TC194013,Bernardo,0541,B,2,1940-09-27 06:00:00,987.43,-80.05,32.9,1940-09-27 06:00:00,1940-09-23 06:00:00,987.43,-80.05,32.9,1940-09-23 06:00:00,1000.91,-78.99,19.29,1940-09-28 12:00:00,995.84,-68.75,40.0,1000.91,-78.99,19.29,1940-09-27 12:00:00,993.47,-79.19,34.26,1940-09-28 00:00:00,995.21,-75.44,37.16
73,TC194016,Derrick,0545,B,2,1940-10-16 06:00:00,950.15,-38.38,27.99,1940-10-16 06:00:00,1940-10-11 00:00:00,950.15,-38.38,27.99,1940-10-11 00:00:00,1000.93,-33.4,30.84,1940-10-21 12:00:00,986.86,-31.15,51.63,1000.93,-33.4,30.84,1940-10-20 06:00:00,983.08,-31.86,49.71,1940-10-20 12:00:00,986.55,-26.53,51.93
74,TC194210,Melody,0653,B,2,1942-12-13 18:00:00,955.46,-48.69,29.52,1942-12-13 18:00:00,1942-12-11 12:00:00,955.46,-48.69,29.52,1942-12-11 12:00:00,990.49,-53.44,24.56,1942-12-16 12:00:00,980.12,-23.79,59.69,990.49,-53.44,24.56,1942-12-15 00:00:00,961.14,-46.49,43.85,1942-12-15 12:00:00,970.7,-44.45,49.89
