,Code,Name,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
43,TC212307,Hazel,A,2,2123-10-03 18:00:00,945.6,-55.76,39.55,2123-10-03 18:00:00,2123-09-19 18:00:00,945.6,-55.76,39.55,2123-09-18 18:00:00,1012.2,-24.76,7.5,2123-10-07 12:00:00,967.68,-23.5,56.25,1006.7,-29.23,12.08,2123-10-06 00:00:00,1002.7,-44.3,42.14,2123-10-06 06:00:00,1002.04,-41.99,43.7
44,TC212402,Joshua,A,2,2124-09-30 06:00:00,923.72,-55.92,22.89,2124-09-30 06:00:00,2124-09-23 00:00:00,923.72,-55.92,22.89,2124-09-19 18:00:00,1012.25,-13.08,8.38,2124-10-08 00:00:00,978.24,-11.25,59.22,1006.78,-23.16,11.03,2124-10-02 00:00:00,924.02,-53.05,25.97,2124-10-07 00:00:00,988.26,-27.32,49.92
45,TC212503,Luca,A,2,2125-11-13 12:00:00,976.15,-52.54,22.23,2125-11-13 12:00:00,2125-11-07 12:00:00,976.15,-52.54,22.23,2125-11-07 12:00:00,1001.58,-82.19,16.83,2125-11-15 18:00:00,1002.79,-43.53,25.89,1001.58,-82.19,16.83,2125-11-15 18:00:00,1002.79,-43.53,25.89,2125-11-15 18:00:00,1002.79,-43.53,25.89
46,TC212601,Mary,A,2,2126-01-03 12:00:00,980.5,-60.53,40.47,2126-01-03 18:00:00,2126-01-03 18:00:00,980.85,-59.51,39.2,2126-01-02 12:00:00,1008.16,-74.29,35.04,2126-01-08 18:00:00,995.81,-13.69,58.39,980.85,-59.51,39.2,2126-01-07 18:00:00,992.71,-26.29,43.12,2126-01-08 00:00:00,993.52,-24.59,45.9
47,TC212604,Ollie,A,2,2126-05-12 00:00:00,973.58,-64.29,35.38,2126-05-12 00:00:00,2126-05-08 18:00:00,973.58,-64.29,35.38,2126-05-07 18:00:00,1003.14,-87.48,26.63,2126-05-17 18:00:00,1012.81,-17.25,39.5,992.73,-85.12,30.5,2126-05-16 00:00:00,1002.2,-28.33,36.35,2126-05-16 06:00:00,1003.64,-25.6,36.84
48,TC212702,Stefan,A,2,2127-04-16 06:00:00,965.12,-72.63,37.31,2127-04-16 06:00:00,2127-04-14 18:00:00,965.12,-72.63,37.31,2127-04-12 12:00:00,1004.72,-78.68,24.34,2127-04-25 12:00:00,1012.64,-45.25,50.75,977.28,-73.25,31.94,2127-04-21 06:00:00,986.63,-62.16,36.71,2127-04-22 18:00:00,988.94,-64.29,42.26
49,TC212704,Tess,A,2,2127-06-17 00:00:00,967.5,-28.85,52.47,2127-06-14 12:00:00,2127-06-11 00:00:00,992.25,-57.07,39.86,2127-06-11 00:00:00,1008.62,-73.94,34.32,2127-06-18 00:00:00,974.38,-19.59,58.16,1008.62,-73.94,34.32,2127-06-14 18:00:00,990.71,-53.68,40.72,2127-06-15 18:00:00,988.96,-38.11,44.55
50,TC212707,Yves,A,2,2127-10-20 18:00:00,944.64,-29.42,31.38,2127-10-20 18:00:00,2127-10-18 18:00:00,944.64,-29.42,31.38,2127-10-17 12:00:00,1006.7,-35.87,30.53,2127-10-28 00:00:00,1011.06,2.5,39.0,1002.39,-31.27,28.91,2127-10-22 12:00:00,968.67,-28.42,31.12,2127-10-27 00:00:00,999.95,-2.43,39.45
51,TC212802,Carlos,A,2,2128-01-19 18:00:00,960.57,-40.76,43.45,2128-01-19 18:00:00,2128-01-19 18:00:00,960.57,-40.76,43.45,2128-01-19 06:00:00,965.24,-40.85,41.73,2128-01-24 00:00:00,1005.47,-15.0,40.25,960.57,-40.76,43.45,2128-01-22 06:00:00,995.26,-27.0,33.75,2128-01-22 06:00:00,995.26,-27.0,33.75
52,TC212806,Emiliano,A,2,2128-10-26 00:00:00,944.36,-30.23,57.21,2128-10-19 00:00:00,2128-10-12 06:00:00,985.11,-83.13,18.1,2128-10-12 06:00:00,1008.21,-84.62,16.64,2128-10-26 06:00:00,945.48,-26.54,59.43,1008.21,-84.62,16.64,2128-10-19 12:00:00,985.79,-81.64,18.65,2128-10-25 12:00:00,950.22,-34.1,53.1
