,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
36,TC211202,Erik,0657,A,1,2112-01-12 06:00:00,987.41,-27.8,34.06,2112-01-12 06:00:00,2112-01-11 18:00:00,987.41,-27.8,34.06,2112-01-11 18:00:00,989.32,-28.31,33.56,2112-01-15 06:00:00,1004.12,-23.5,36.5,989.32,-28.31,33.56,2112-01-14 12:00:00,1002.92,-20.75,34.5,,,,
37,TC211204,Frances,0666,A,0,2112-04-10 18:00:00,976.36,-34.62,35.13,2112-04-10 18:00:00,2112-04-10 18:00:00,976.36,-34.62,35.13,2112-04-09 18:00:00,995.6,-43.61,29.86,2112-04-16 18:00:00,1008.33,-14.75,33.5,976.36,-34.62,35.13,,,,,,,,
38,TC211205,Hubert,0682,A,2,2112-09-05 00:00:00,916.5,-61.04,32.4,2112-09-05 00:00:00,2112-08-29 18:00:00,916.5,-61.04,32.4,2112-08-28 18:00:00,1009.5,-28.42,13.97,2112-09-10 06:00:00,962.18,-27.72,59.71,1007.31,-34.17,14.51,2112-09-06 00:00:00,942.37,-56.1,36.65,2112-09-09 12:00:00,943.61,-33.98,56.32
39,TC211206,Julie,0689,A,0,2112-10-16 12:00:00,970.75,-60.4,42.26,2112-10-16 12:00:00,2112-10-10 12:00:00,970.75,-60.4,42.26,2112-10-10 12:00:00,1001.22,-88.54,15.92,2112-10-18 00:00:00,979.19,-57.23,41.86,1001.22,-88.54,15.92,,,,,,,,
40,TC211207,Keith,0693,A,2,2112-11-03 18:00:00,947.91,-38.89,41.46,2112-11-03 18:00:00,2112-10-30 12:00:00,947.91,-38.89,41.46,2112-10-30 12:00:00,1008.96,-48.58,30.53,2112-11-09 00:00:00,1012.65,-27.0,38.25,1008.96,-48.58,30.53,2112-11-06 12:00:00,987.15,-24.87,48.77,2112-11-06 12:00:00,987.15,-24.87,48.77
41,TC211208,Lily,0695,A,2,2112-11-07 00:00:00,953.16,-58.56,43.49,2112-11-06 00:00:00,2112-11-01 06:00:00,964.92,-66.11,38.91,2112-11-01 06:00:00,1010.88,-78.24,27.63,2112-11-07 18:00:00,968.78,-63.71,47.43,1010.88,-78.24,27.63,2112-11-06 06:00:00,961.12,-64.05,39.06,2112-11-07 12:00:00,962.48,-61.3,46.97
42,TC211301,Marc,0705,A,2,2113-01-14 12:00:00,937.29,-42.81,41.44,2113-01-14 12:00:00,2113-01-12 00:00:00,937.29,-42.81,41.44,2113-01-11 00:00:00,972.04,-73.38,34.0,2113-01-18 06:00:00,951.17,-31.72,60.0,958.92,-64.65,38.12,2113-01-15 06:00:00,940.9,-36.61,39.57,2113-01-18 00:00:00,951.48,-32.18,57.61
43,TC211305,Noelle,0727,A,2,2113-06-18 00:00:00,959.56,-71.9,33.49,2113-06-18 00:00:00,2113-06-10 12:00:00,959.56,-71.9,33.49,2113-06-10 12:00:00,1003.72,-78.75,13.35,2113-06-21 00:00:00,986.28,-39.64,59.98,1003.72,-78.75,13.35,2113-06-19 00:00:00,968.89,-67.21,38.58,2113-06-19 18:00:00,980.91,-60.91,44.87
44,TC211307,Rocco,0735,A,2,2113-09-22 12:00:00,963.15,-92.17,28.24,2113-09-22 12:00:00,2113-09-14 18:00:00,963.15,-92.17,28.24,2113-09-14 18:00:00,1010.62,-92.59,25.7,2113-09-28 18:00:00,1007.54,-53.75,44.0,1010.62,-92.59,25.7,2113-09-24 12:00:00,1002.15,-91.41,34.53,2113-09-24 12:00:00,1002.15,-91.41,34.53
45,TC211308,Shannon,0736,A,2,2113-09-18 00:00:00,911.77,-43.93,21.91,2113-09-18 00:00:00,2113-09-14 00:00:00,911.77,-43.93,21.91,2113-09-14 00:00:00,1004.4,-34.93,14.41,2113-09-26 18:00:00,995.67,-39.25,55.0,1004.4,-34.93,14.41,2113-09-21 00:00:00,956.55,-44.48,31.57,2113-09-25 06:00:00,977.74,-48.83,53.69
